acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,closed,color_backend,correct,correct_correct_response,correct_correct_response_training,correct_new_1_keyboard_response,correct_new_keyboard_response,correct_new_mouse_response,correct_response,correct_response_train,count_Consent_form,count_correct_response,count_correct_response_training,count_ecouteur_form,count_experiment,count_experiment_loop,count_getting_started,count_logger_exp,count_new_1_keyboard_response,count_new_keyboard_response,count_new_mouse_response,count_osweb,count_play_sampler1,count_play_sampler2,count_play_sound1,count_play_sound2,count_redirect_to_limesurvey,count_stim_fill_sequence,count_study_finished,count_training_loop,count_training_seq,count_training_sketchpad,count_welcome_exp_page,count_welome,crossOriginIsolated,cursor_roi,cursor_x,cursor_y,datetime,description,devicePixelRatio,disable_garbage_collection,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,innerHeight,innerWidth,isBrowser,isSecureContext,jatos_uuid,keyboard_backend,length,mouse_backend,name,offscreenBuffering,opensesame_codename,opensesame_version,origin,outerHeight,outerWidth,pageXOffset,pageYOffset,penwidth,repeat_cycle,response,response_correct_response,response_correct_response_training,response_new_1_keyboard_response,response_new_keyboard_response,response_new_mouse_response,response_time,response_time_correct_response,response_time_correct_response_training,response_time_new_1_keyboard_response,response_time_new_keyboard_response,response_time_new_mouse_response,response_time_training_sketchpad,response_time_welcome_exp_page,response_time_welome,response_training_sketchpad,response_welcome_exp_page,response_welome,round_decimals,sampler_backend,screenLeft,screenTop,screenX,screenY,scrollX,scrollY,sessionid,sound1,sound2,sound_1,sound_2,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,status,subject_nr,subject_parity,time_correct_response,time_correct_response_training,time_experiment_loop,time_logger_exp,time_new_1_keyboard_response,time_new_keyboard_response,time_new_mouse_response,time_play_sampler1,time_play_sampler2,time_play_sound1,time_play_sound2,time_redirect_to_limesurvey,time_training_loop,time_training_sketchpad,time_welcome_exp_page,time_welome,title,total_correct,total_response_time,total_responses,width
50,50,5510,5510,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,m,q,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,m,m,q,space,space,1,1025,1025,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,fill_yu1,fill_yu1,1024,2,48000,-16,experiment,,0,even,25079753,25048593,27,25080782,25050314,25031938,25059983,25046515,25047756,25077034,25078393,25077015,23,25034819,25008037,25057369,Nouvelle expérience,3,33061,6,1024
57,57,4755,4755,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,q,q,q,space,space,1,224,224,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,fill_tao2,fill_tiao4,1024,2,48000,-16,experiment,,0,even,25083271,25048593,27,25083515,25050314,25031938,25059983,25046515,25047756,25080796,25082156,25077015,23,25034819,25008037,25057369,Nouvelle expérience,4,33285,7,1024
50,50,4279,4279,#000000,osweb,osweb,0,osweb,0,0,1,undefined,undefined,undefined,m,q,0,2,1,0,0,0,0,2,0,0,0,0,1,1,2,2,0,2,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,q,q,q,space,space,1,949,949,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,stim_dao3,stim_dao3,1024,2,48000,-16,experiment,,0,even,25085612,25048593,27,25086582,25050314,25031938,25059983,25046515,25047756,25083521,25084566,25077015,23,25034819,25008037,25057369,Nouvelle expérience,4,34234,8,1024
56,56,3940,3940,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,3,1,0,0,0,0,3,0,0,0,0,1,1,3,3,0,3,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,q,q,q,space,space,1,1230,1230,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,stim_ma1,stim_ma4,1024,2,48000,-16,experiment,,0,even,25088815,25048593,27,25090048,25050314,25031938,25059983,25046515,25047756,25086586,25087793,25077015,23,25034819,25008037,25057369,Nouvelle expérience,5,35464,9,1024
60,60,3644,3644,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,4,1,0,0,0,0,4,0,0,0,0,1,1,4,4,0,4,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,q,q,q,space,space,1,980,980,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,stim_ma1,stim_ma2,1024,2,48000,-16,experiment,,0,even,25092260,25048593,27,25093249,25050314,25031938,25059983,25046515,25047756,25090052,25091260,25077015,23,25034819,25008037,25057369,Nouvelle expérience,6,36444,10,1024
64,64,3361,3361,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,5,1,0,0,0,0,5,0,0,0,0,1,1,5,5,0,5,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,q,q,q,space,space,1,529,529,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,fill_la2,fill_ma2,1024,2,48000,-16,experiment,,0,even,25095577,25048593,27,25096115,25050314,25031938,25059983,25046515,25047756,25093252,25094577,25077015,23,25034819,25008037,25057369,Nouvelle expérience,7,36973,11,1024
67,67,3094,3094,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,6,1,0,0,0,0,6,0,0,0,0,1,1,6,6,0,6,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,q,q,q,space,space,1,160,160,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,fill_seng1,fill_song1,1024,2,48000,-16,experiment,,0,even,25098676,25048593,27,25098849,25050314,25031938,25059983,25046515,25047756,25096119,25097607,25077015,23,25034819,25008037,25057369,Nouvelle expérience,8,37133,12,1024
69,69,2911,2911,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,7,1,0,0,0,0,7,0,0,0,0,1,1,7,7,0,7,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,q,q,q,space,space,1,714,714,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,stim_ma2,stim_ma4,1024,2,48000,-16,experiment,,0,even,25100874,25048593,27,25101615,25050314,25031938,25059983,25046515,25047756,25098852,25099852,25077015,23,25034819,25008037,25057369,Nouvelle expérience,9,37847,13,1024
71,71,2841,2841,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,8,1,0,0,0,0,8,0,0,0,0,1,1,8,8,0,8,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,q,q,q,space,space,1,1926,1926,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,fill_li1,fill_la1,1024,2,48000,-16,experiment,,0,even,25104431,25048593,27,25106382,25050314,25031938,25059983,25046515,25047756,25101620,25103140,25077015,23,25034819,25008037,25057369,Nouvelle expérience,10,39773,14,1024
73,73,2767,2767,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,9,1,0,0,0,0,9,0,0,0,0,1,1,9,9,0,9,0,0,1,0,0,0,0,stim0,-83,164.5,Mon Apr 21 2025 23:35:19 GMT+0200 (Central European Summer Time),The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,865,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,1,osweb,2.2.1,https://jatos.mindprobe.eu,945,1512,0,0,1,0,q,q,q,space,space,1,1729,1729,1710,6998,2836,17021,6401,23839,2587,space,space,space,2,osweb,0,37,0,37,0,0,1745271325733,train_a1,train_e1,stim_yi2,stim_yi1,1024,2,48000,-16,experiment,,0,even,25108375,25048593,27,25110115,25050314,25031938,25059983,25046515,25047756,25106386,25107444,25077015,23,25034819,25008037,25057369,Nouvelle expérience,11,41502,15,1024
