PERSISTENT,TEMPORARY,acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,closed,color_backend,correct,correct_correct_response,correct_correct_response_training,correct_new_1_keyboard_response,correct_new_keyboard_response,correct_new_mouse_response,correct_response,correct_response_train,count_Consent_form,count_correct_response,count_correct_response_training,count_ecouteur_form,count_experiment,count_experiment_loop,count_getting_started,count_logger_exp,count_new_1_keyboard_response,count_new_keyboard_response,count_new_mouse_response,count_osweb,count_play_sampler1,count_play_sampler2,count_play_sound1,count_play_sound2,count_redirect_to_limesurvey,count_stim_fill_sequence,count_study_finished,count_training_loop,count_training_seq,count_training_sketchpad,count_welcome_exp_page,count_welome,crossOriginIsolated,cursor_roi,cursor_x,cursor_y,datetime,defaultStatus,defaultstatus,description,devicePixelRatio,disable_garbage_collection,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,innerHeight,innerWidth,isBrowser,isSecureContext,jatos_uuid,keyboard_backend,length,mouse_backend,name,opensesame_codename,opensesame_version,origin,originAgentCluster,outerHeight,outerWidth,pageXOffset,pageYOffset,penwidth,repeat_cycle,response,response_correct_response,response_correct_response_training,response_new_1_keyboard_response,response_new_keyboard_response,response_new_mouse_response,response_time,response_time_correct_response,response_time_correct_response_training,response_time_new_1_keyboard_response,response_time_new_keyboard_response,response_time_new_mouse_response,response_time_training_sketchpad,response_time_welcome_exp_page,response_time_welome,response_training_sketchpad,response_welcome_exp_page,response_welome,round_decimals,sampler_backend,screenLeft,screenTop,screenX,screenY,scrollX,scrollY,sessionid,sound1,sound2,sound_1,sound_2,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,status,subject_nr,subject_parity,time_correct_response,time_correct_response_training,time_experiment_loop,time_logger_exp,time_new_1_keyboard_response,time_new_keyboard_response,time_new_mouse_response,time_play_sampler1,time_play_sampler2,time_play_sound1,time_play_sound2,time_redirect_to_limesurvey,time_training_loop,time_training_sketchpad,time_welcome_exp_page,time_welome,title,total_correct,total_response_time,total_responses,width
1,0,50,50,5502,5502,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,stim0,-116,104.75,Thu Apr 24 2025 20:49:41 GMT+0200 (Central European Summer Time),,,The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,822,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,0,862,1512,0,0,1,0,q,q,q,space,space,1,12559,12559,716,9156,3063,2564,6877,14643,14660,space,space,space,2,osweb,0,38,0,38,0,0,1745520669526,train_a1,train_e1,stim_ban2,stim_ban4,1024,2,48000,-16,experiment,,1,odd,77148,47909,29,89714,48633,29095,72461,45834,47073,75036,76196,75028,24,32168,14451,57791,Nouvelle expérience,3,33011,6,1024
1,0,57,57,4793,4793,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,stim0,-116,104.75,Thu Apr 24 2025 20:49:41 GMT+0200 (Central European Summer Time),,,The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,822,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,0,862,1512,0,0,1,0,q,q,q,space,space,1,538,538,716,9156,3063,2564,6877,14643,14660,space,space,space,2,osweb,0,38,0,38,0,0,1745520669526,train_a1,train_e1,stim_sheng1,stim_sheng2,1024,2,48000,-16,experiment,,1,odd,92259,47909,29,92802,48633,29095,72461,45834,47073,89721,90901,75028,24,32168,14451,57791,Nouvelle expérience,4,33549,7,1024
1,0,63,63,4229,4229,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,2,1,0,0,0,0,2,0,0,0,0,1,1,2,2,0,2,0,0,1,0,0,0,0,stim0,-116,104.75,Thu Apr 24 2025 20:49:41 GMT+0200 (Central European Summer Time),,,The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,822,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,0,862,1512,0,0,1,0,q,q,q,space,space,1,280,280,716,9156,3063,2564,6877,14643,14660,space,space,space,2,osweb,0,38,0,38,0,0,1745520669526,train_a1,train_e1,fill_la1,fill_ma1,1024,2,48000,-16,experiment,,1,odd,95301,47909,29,95585,48633,29095,72461,45834,47073,92804,94094,75028,24,32168,14451,57791,Nouvelle expérience,5,33829,8,1024
1,0,67,67,3798,3798,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,3,1,0,0,0,0,3,0,0,0,0,1,1,3,3,0,3,0,0,1,0,0,0,0,stim0,-116,104.75,Thu Apr 24 2025 20:49:41 GMT+0200 (Central European Summer Time),,,The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,822,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,0,862,1512,0,0,1,0,q,q,q,space,space,1,357,357,716,9156,3063,2564,6877,14643,14660,space,space,space,2,osweb,0,38,0,38,0,0,1745520669526,train_a1,train_e1,fill_qi2,fill_xi2,1024,2,48000,-16,experiment,,1,odd,98133,47909,29,98490,48633,29095,72461,45834,47073,95588,97031,75028,24,32168,14451,57791,Nouvelle expérience,6,34186,9,1024
1,0,70,70,3445,3445,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,4,1,0,0,0,0,4,0,0,0,0,1,1,4,4,0,4,0,0,1,0,0,0,0,stim0,-116,104.75,Thu Apr 24 2025 20:49:41 GMT+0200 (Central European Summer Time),,,The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,822,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,0,862,1512,0,0,1,0,q,q,q,space,space,1,261,261,716,9156,3063,2564,6877,14643,14660,space,space,space,2,osweb,0,38,0,38,0,0,1745520669526,train_a1,train_e1,fill_li1,fill_la1,1024,2,48000,-16,experiment,,1,odd,101297,47909,29,101566,48633,29095,72461,45834,47073,98492,100009,75028,24,32168,14451,57791,Nouvelle expérience,7,34447,10,1024
1,0,73,73,3158,3158,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,m,q,0,5,1,0,0,0,0,5,0,0,0,0,1,1,5,5,0,5,0,0,1,0,0,0,0,stim0,-116,104.75,Thu Apr 24 2025 20:49:41 GMT+0200 (Central European Summer Time),,,The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,822,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,0,862,1512,0,0,1,0,m,m,q,space,space,1,292,292,716,9156,3063,2564,6877,14643,14660,space,space,space,2,osweb,0,38,0,38,0,0,1745520669526,train_a1,train_e1,fill_yu3,fill_yu3,1024,2,48000,-16,experiment,,1,odd,104420,47909,29,104715,48633,29095,72461,45834,47073,101569,102992,75028,24,32168,14451,57791,Nouvelle expérience,8,34739,11,1024
1,0,75,75,2943,2943,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,6,1,0,0,0,0,6,0,0,0,0,1,1,6,6,0,6,0,0,1,0,0,0,0,stim0,-116,104.75,Thu Apr 24 2025 20:49:41 GMT+0200 (Central European Summer Time),,,The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,822,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,0,862,1512,0,0,1,0,q,q,q,space,space,1,571,571,716,9156,3063,2564,6877,14643,14660,space,space,space,2,osweb,0,38,0,38,0,0,1745520669526,train_a1,train_e1,stim_ma1,stim_ma4,1024,2,48000,-16,experiment,,1,odd,106946,47909,29,107524,48633,29095,72461,45834,47073,104718,105924,75028,24,32168,14451,57791,Nouvelle expérience,9,35310,12,1024
1,0,77,77,2750,2750,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,m,q,0,7,1,0,0,0,0,7,0,0,0,0,1,1,7,7,0,7,0,0,1,0,0,0,0,stim0,-116,104.75,Thu Apr 24 2025 20:49:41 GMT+0200 (Central European Summer Time),,,The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,822,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,0,862,1512,0,0,1,0,m,m,q,space,space,1,439,439,716,9156,3063,2564,6877,14643,14660,space,space,space,2,osweb,0,38,0,38,0,0,1745520669526,train_a1,train_e1,stim_ma2,stim_ma2,1024,2,48000,-16,experiment,,1,odd,109523,47909,29,109965,48633,29095,72461,45834,47073,107526,108524,75028,24,32168,14451,57791,Nouvelle expérience,10,35749,13,1024
1,0,79,79,2580,2580,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,8,1,0,0,0,0,8,0,0,0,0,1,1,8,8,0,8,0,0,1,0,0,0,0,stim0,-116,104.75,Thu Apr 24 2025 20:49:41 GMT+0200 (Central European Summer Time),,,The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,822,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,0,862,1512,0,0,1,0,q,q,q,space,space,1,372,372,716,9156,3063,2564,6877,14643,14660,space,space,space,2,osweb,0,38,0,38,0,0,1745520669526,train_a1,train_e1,stim_dao2,stim_dao3,1024,2,48000,-16,experiment,,1,odd,112809,47909,29,113183,48633,29095,72461,45834,47073,109966,111763,75028,24,32168,14451,57791,Nouvelle expérience,11,36121,14,1024
1,0,80,80,2414,2414,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,9,1,0,0,0,0,9,0,0,0,0,1,1,9,9,0,9,0,0,1,0,0,0,0,stim0,-116,104.75,Thu Apr 24 2025 20:49:41 GMT+0200 (Central European Summer Time),,,The main experiment item,2,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,no,768,822,1512,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,,osweb,2.2.1,https://jatos.mindprobe.eu,0,862,1512,0,0,1,0,q,q,q,space,space,1,91,91,716,9156,3063,2564,6877,14643,14660,space,space,space,2,osweb,0,38,0,38,0,0,1745520669526,train_a1,train_e1,fill_bao3,fill_dao3,1024,2,48000,-16,experiment,,1,odd,115693,47909,29,115791,48633,29095,72461,45834,47073,113186,114648,75028,24,32168,14451,57791,Nouvelle expérience,12,36212,15,1024
