acc,accuracy,average_response_time,avg_rt,background,canvas_backend,clock_backend,closed,color_backend,correct,correct_correct_response,correct_correct_response_training,correct_new_1_keyboard_response,correct_new_keyboard_response,correct_new_mouse_response,correct_response,correct_response_train,count_Consent_form,count_correct_response,count_correct_response_training,count_ecouteur_form,count_experiment,count_experiment_loop,count_getting_started,count_logger_exp,count_new_1_keyboard_response,count_new_keyboard_response,count_new_mouse_response,count_osweb,count_play_sampler1,count_play_sampler2,count_play_sound1,count_play_sound2,count_redirect_to_limesurvey,count_stim_fill_sequence,count_study_finished,count_training_loop,count_training_seq,count_training_sketchpad,count_welcome_exp_page,count_welome,crossOriginIsolated,cursor_roi,cursor_x,cursor_y,datetime,description,devicePixelRatio,disable_garbage_collection,experiment_path,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullScreen,fullscreen,height,innerHeight,innerWidth,isBrowser,isSecureContext,jatos_uuid,keyboard_backend,length,mouse_backend,mozInnerScreenX,mozInnerScreenY,name,opensesame_codename,opensesame_version,origin,outerHeight,outerWidth,pageXOffset,pageYOffset,penwidth,repeat_cycle,response,response_correct_response,response_correct_response_training,response_new_1_keyboard_response,response_new_keyboard_response,response_new_mouse_response,response_time,response_time_correct_response,response_time_correct_response_training,response_time_new_1_keyboard_response,response_time_new_keyboard_response,response_time_new_mouse_response,response_time_training_sketchpad,response_time_welcome_exp_page,response_time_welome,response_training_sketchpad,response_welcome_exp_page,response_welome,round_decimals,sampler_backend,screenLeft,screenTop,screenX,screenY,scrollMaxX,scrollMaxY,scrollX,scrollY,sessionid,sound1,sound2,sound_1,sound_2,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,status,subject_nr,subject_parity,time_correct_response,time_correct_response_training,time_experiment_loop,time_logger_exp,time_new_1_keyboard_response,time_new_keyboard_response,time_new_mouse_response,time_play_sampler1,time_play_sampler2,time_play_sound1,time_play_sound2,time_redirect_to_limesurvey,time_training_loop,time_training_sketchpad,time_welcome_exp_page,time_welome,title,total_correct,total_response_time,total_responses,width
33,33,5791,5791,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,stim0,164.18251319091712,-144.37766919673146,Sat Apr 26 2025 11:42:56 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,q,q,q,space,space,1,28034,28034,767,2323,558,2475,504,1263,941,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660652120,train_a1,train_e1,fill_pan1,fill_pan3,1024,2,48000,-16,experiment,,0,even,36662,27640,147,64709,28410,21611,31694,25529,26786,34211,35264,34177,131,22180,20333,30747,Nouvelle expérience,2,34745,6,1024
43,43,4964,4964,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,stim0,164.18251319091712,-144.37766919673146,Sat Apr 26 2025 11:42:56 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,q,q,q,space,space,1,6,6,767,2323,558,2475,504,1263,941,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660652120,train_a1,train_e1,fill_pa4,fill_ba4,1024,2,48000,-16,experiment,,0,even,67125,27640,147,67141,28410,21611,31694,25529,26786,64713,65867,34177,131,22180,20333,30747,Nouvelle expérience,3,34751,7,1024
50,50,4383,4383,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,2,1,0,0,0,0,2,0,0,0,0,1,1,2,2,0,2,0,0,1,0,0,0,0,stim0,164.18251319091712,-144.37766919673146,Sat Apr 26 2025 11:42:56 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,q,q,q,space,space,1,316,316,767,2323,558,2475,504,1263,941,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660652120,train_a1,train_e1,stim_sheng1,stim_sheng4,1024,2,48000,-16,experiment,,0,even,69547,27640,147,69874,28410,21611,31694,25529,26786,67144,68342,34177,131,22180,20333,30747,Nouvelle expérience,4,35067,8,1024
56,56,3901,3901,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,3,1,0,0,0,0,3,0,0,0,0,1,1,3,3,0,3,0,0,1,0,0,0,0,stim0,164.18251319091712,-144.37766919673146,Sat Apr 26 2025 11:42:56 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,q,q,q,space,space,1,38,38,767,2323,558,2475,504,1263,941,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660652120,train_a1,train_e1,fill_la1,fill_ma1,1024,2,48000,-16,experiment,,0,even,72406,27640,147,72458,28410,21611,31694,25529,26786,69877,71179,34177,131,22180,20333,30747,Nouvelle expérience,5,35105,9,1024
60,60,3554,3554,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,4,1,0,0,0,0,4,0,0,0,0,1,1,4,4,0,4,0,0,1,0,0,0,0,stim0,164.18251319091712,-144.37766919673146,Sat Apr 26 2025 11:42:56 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,q,q,q,space,space,1,437,437,767,2323,558,2475,504,1263,941,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660652120,train_a1,train_e1,stim_dao2,stim_dao3,1024,2,48000,-16,experiment,,0,even,75328,27640,147,75775,28410,21611,31694,25529,26786,72460,74272,34177,131,22180,20333,30747,Nouvelle expérience,6,35542,10,1024
55,55,3257,3257,#000000,osweb,osweb,0,osweb,0,0,1,undefined,undefined,undefined,m,q,0,5,1,0,0,0,0,5,0,0,0,0,1,1,5,5,0,5,0,0,1,0,0,0,0,stim0,164.18251319091712,-144.37766919673146,Sat Apr 26 2025 11:42:56 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,q,q,q,space,space,1,287,287,767,2323,558,2475,504,1263,941,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660652120,train_a1,train_e1,fill_pan2,fill_pan2,1024,2,48000,-16,experiment,,0,even,78486,27640,147,78774,28410,21611,31694,25529,26786,75777,77131,34177,131,22180,20333,30747,Nouvelle expérience,6,35829,11,1024
58,58,2987,2987,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,m,q,0,6,1,0,0,0,0,6,0,0,0,0,1,1,6,6,0,6,0,0,1,0,0,0,0,stim0,164.18251319091712,-144.37766919673146,Sat Apr 26 2025 11:42:56 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,m,m,q,space,space,1,10,10,767,2323,558,2475,504,1263,941,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660652120,train_a1,train_e1,fill_yu3,fill_yu3,1024,2,48000,-16,experiment,,0,even,81653,27640,147,81674,28410,21611,31694,25529,26786,78776,80213,34177,131,22180,20333,30747,Nouvelle expérience,7,35839,12,1024
62,62,2768,2768,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,m,q,0,7,1,0,0,0,0,7,0,0,0,0,1,1,7,7,0,7,0,0,1,0,0,0,0,stim0,164.18251319091712,-144.37766919673146,Sat Apr 26 2025 11:42:56 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,m,m,q,space,space,1,146,146,767,2323,558,2475,504,1263,941,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660652120,train_a1,train_e1,stim_ban2,stim_ban2,1024,2,48000,-16,experiment,,0,even,84022,27640,147,84174,28410,21611,31694,25529,26786,81677,82848,34177,131,22180,20333,30747,Nouvelle expérience,8,35985,13,1024
64,64,2579,2579,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,q,q,0,8,1,0,0,0,0,8,0,0,0,0,1,1,8,8,0,8,0,0,1,0,0,0,0,stim0,164.18251319091712,-144.37766919673146,Sat Apr 26 2025 11:42:56 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,q,q,q,space,space,1,124,124,767,2323,558,2475,504,1263,941,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660652120,train_a1,train_e1,stim_yi2,stim_yi3,1024,2,48000,-16,experiment,,0,even,86923,27640,147,87057,28410,21611,31694,25529,26786,84176,85249,34177,131,22180,20333,30747,Nouvelle expérience,9,36109,14,1024
67,67,2410,2410,#000000,osweb,osweb,0,osweb,1,1,1,undefined,undefined,undefined,m,q,0,9,1,0,0,0,0,9,0,0,0,0,1,1,9,9,0,9,0,0,1,0,0,0,0,stim0,164.18251319091712,-144.37766919673146,Sat Apr 26 2025 11:42:56 GMT+0200 (Central European Summer Time),The main experiment item,1.0526315789473684,False,C:/Users/rekbi/OneDrive/Bureau,False,mono,False,18,no,#000000,no,0,no,768,599,1298,1,1,a75f6f75-437c-2915-eb43-01debc9446dd,osweb,0,osweb,0,84.55000305175781,,osweb,2.2.1,https://jatos.mindprobe.eu,701,1316,0,1.899999976158142,1,0,m,m,q,space,space,1,43,43,767,2323,558,2475,504,1263,941,space,space,space,2,osweb,-8,-8,-8,-8,0,2,0,1.899999976158142,1745660652120,train_a1,train_e1,fill_yu1,fill_yu1,1024,2,48000,-16,experiment,,0,even,89802,27640,147,89857,28410,21611,31694,25529,26786,87060,88427,34177,131,22180,20333,30747,Nouvelle expérience,10,36152,15,1024
